Round_Centre_Code,FSU_Serial_No,Round,Sch_No,Sample,Sector,State_Region,District,Stratum,Sub_Stratum_No,Filler_1,Sub_Round,Sub_Sample,FOD_Sub_Region,Hamlet_Group_Sub_Block_No,Second_Stage_Stratum_No,Sample_Hhld_No,Level,Filler_2,HH_Size,NIC_2008,NCO_2004,HH_Type,Religion,Social_Group,Land_Owned,Land_Possessed,Land_Cultivated,NREG_Job_Card,No_NREG_Card,Saving_Bank_Held_by_any_member,Spl_characters_for_OK_stamp,Blank,NSS,NSC,MLT,NSS_SR,NSC_SR,MLT_SR,Household_Type,State,District_code,Multiplier_comb
RC-4,FSU-31217,Round 65,SCH-186,Sample 1,Urban,Haryana,Mysuru,Stratum-7,Sub-Stratum-2,N/A,Sub-Round 4,Sub-Sample 2,FOD-577,Block-5,Stage-3,HH-2,Level 3,N/A,3,Construction of buildings,Engineer,Other Labour,Jainism,Other Backward Class (OBC),13.2 acres,13.8 acres,16.4 acres,Yes,3,Yes,Pending,,NSS-14,NSC-3,441510.87,SR-4,SR-5,130661.02,Extended Family,Haryana,DT-889,1653.065
RC-2,FSU-86014,Round 64,SCH-113,Sample 1,Rural,Uttar Pradesh,Hyderabad,Stratum-1,Sub-Stratum-4,N/A,Sub-Round 2,Sub-Sample 1,FOD-290,Block-3,Stage-1,HH-4,Level 3,N/A,8,Crop and animal production,Driver,Others,Hinduism,Scheduled Caste (SC),40.0 acres,2.9 acres,29.7 acres,Yes,1,No,Pending,,NSS-5,NSC-12,269846.9,SR-4,SR-2,601300.25,Joint Family,Uttar Pradesh,DT-159,1867.678
RC-3,FSU-33979,Round 67,SCH-192,Sample 2,Urban,Gujarat,Ranchi,Stratum-4,Sub-Stratum-1,N/A,Sub-Round 1,Sub-Sample 1,FOD-193,Block-4,Stage-1,HH-7,Level 1,N/A,5,Land transport,Shop Keeper,Regular Wage/Salary,Islam,General/Others,40.1 acres,17.7 acres,14.5 acres,No,5,No,OK,,NSS-12,NSC-5,297584.99,SR-5,SR-4,292627.48,Extended Family,Gujarat,DT-178,1170.6
RC-4,FSU-39001,Round 66,SCH-149,Sample 1,Urban,Assam,Mysuru,Stratum-3,Sub-Stratum-3,N/A,Sub-Round 4,Sub-Sample 1,FOD-958,Block-5,Stage-1,HH-7,Level 2,N/A,11,Crop and animal production,Teacher,Other Labour,Christianity,Other Backward Class (OBC),27.5 acres,47.3 acres,11.5 acres,Yes,0,No,Pending,,NSS-9,NSC-25,162173.36,SR-5,SR-5,799129.1,Single Member,Assam,DT-497,583.039
RC-3,FSU-94488,Round 68,SCH-135,Sample 2,Rural,Jharkhand,Guwahati,Stratum-6,Sub-Stratum-3,N/A,Sub-Round 3,Sub-Sample 1,FOD-714,Block-1,Stage-2,HH-8,Level 2,N/A,6,Crop and animal production,Teacher,Self-employed in Agriculture,Jainism,General/Others,46.0 acres,22.4 acres,11.9 acres,Yes,5,No,OK,,NSS-18,NSC-11,133174.22,SR-1,SR-3,123020.64,Nuclear Family,Jharkhand,DT-796,1112.976
RC-4,FSU-13902,Round 65,SCH-141,Sample 1,Urban,Kerala,Kozhikode,Stratum-2,Sub-Stratum-5,N/A,Sub-Round 3,Sub-Sample 1,FOD-895,Block-5,Stage-3,HH-4,Level 3,N/A,6,Forestry and logging,Teacher,Self-employed in Agriculture,Others,Other Backward Class (OBC),12.7 acres,44.1 acres,21.9 acres,No,4,No,OK,,NSS-15,NSC-2,180588.04,SR-5,SR-4,745236.49,Extended Family,Kerala,DT-589,1298.824
RC-4,FSU-52929,Round 62,SCH-167,Sample 2,Rural,Rajasthan,Chennai,Stratum-10,Sub-Stratum-3,N/A,Sub-Round 1,Sub-Sample 1,FOD-421,Block-2,Stage-3,HH-7,Level 1,N/A,4,Land transport,Domestic Helper,Others,Jainism,General/Others,37.0 acres,28.3 acres,12.7 acres,No,3,No,OK,,NSS-7,NSC-28,193280.63,SR-4,SR-1,173804.78,Nuclear Family,Rajasthan,DT-754,1047.958
RC-2,FSU-56179,Round 64,SCH-128,Sample 1,Rural,Madhya Pradesh,Ambala,Stratum-4,Sub-Stratum-1,N/A,Sub-Round 4,Sub-Sample 2,FOD-126,Block-5,Stage-3,HH-1,Level 1,N/A,5,Crop and animal production,Nurse,Self-employed in Non-Agriculture,Sikhism,General/Others,40.1 acres,13.7 acres,12.2 acres,Yes,1,Yes,Pending,,NSS-11,NSC-28,270763.61,SR-1,SR-1,624284.57,Single Member,Madhya Pradesh,DT-519,158.897
RC-3,FSU-67284,Round 72,SCH-132,Sample 2,Urban,Jharkhand,Ludhiana,Stratum-7,Sub-Stratum-5,N/A,Sub-Round 2,Sub-Sample 2,FOD-349,Block-4,Stage-1,HH-3,Level 2,N/A,12,Mining of coal,Manager,Regular Wage/Salary,Sikhism,Other Backward Class (OBC),13.8 acres,49.7 acres,22.0 acres,No,2,No,OK,,NSS-9,NSC-19,57953.71,SR-2,SR-1,888140.89,Extended Family,Jharkhand,DT-600,1572.412
RC-4,FSU-99555,Round 65,SCH-108,Sample 2,Rural,Punjab,Chennai,Stratum-3,Sub-Stratum-4,N/A,Sub-Round 4,Sub-Sample 1,FOD-612,Block-4,Stage-2,HH-2,Level 2,N/A,3,Fishing and aquaculture,Agricultural Labourer,Self-employed in Agriculture,Buddhism,Scheduled Caste (SC),33.6 acres,41.0 acres,4.8 acres,Yes,1,Yes,Pending,,NSS-7,NSC-23,347373.12,SR-4,SR-5,557053.45,Extended Family,Punjab,DT-475,495.002
RC-4,FSU-71862,Round 64,SCH-195,Sample 1,Rural,West Bengal,Guwahati,Stratum-6,Sub-Stratum-4,N/A,Sub-Round 3,Sub-Sample 1,FOD-298,Block-2,Stage-3,HH-1,Level 1,N/A,8,Fishing and aquaculture,Carpenter,Self-employed in Agriculture,Christianity,General/Others,16.6 acres,18.0 acres,2.5 acres,Yes,4,No,Pending,,NSS-3,NSC-14,451816.45,SR-1,SR-2,616370.27,Extended Family,West Bengal,DT-793,774.732
RC-4,FSU-77842,Round 71,SCH-187,Sample 1,Urban,West Bengal,Ludhiana,Stratum-2,Sub-Stratum-1,N/A,Sub-Round 2,Sub-Sample 1,FOD-518,Block-1,Stage-3,HH-1,Level 1,N/A,7,Retail trade,Blacksmith,Others,Islam,General/Others,37.0 acres,13.9 acres,3.9 acres,Yes,2,No,OK,,NSS-18,NSC-8,491437.74,SR-2,SR-2,257046.4,Single Member,West Bengal,DT-144,500.742
RC-5,FSU-87806,Round 63,SCH-106,Sample 2,Rural,Kerala,Dehradun,Stratum-7,Sub-Stratum-1,N/A,Sub-Round 2,Sub-Sample 2,FOD-527,Block-3,Stage-1,HH-4,Level 3,N/A,10,Forestry and logging,Agricultural Labourer,Agricultural Labour,Christianity,Other Backward Class (OBC),10.0 acres,48.6 acres,7.6 acres,No,0,Yes,OK,,NSS-7,NSC-3,190938.45,SR-2,SR-2,466084.1,Nuclear Family,Kerala,DT-444,936.672
RC-2,FSU-21327,Round 74,SCH-147,Sample 1,Urban,Madhya Pradesh,Kolkata,Stratum-10,Sub-Stratum-4,N/A,Sub-Round 2,Sub-Sample 2,FOD-885,Block-3,Stage-3,HH-1,Level 2,N/A,8,Mining of coal,Mason/Construction Worker,Regular Wage/Salary,Hinduism,Other Backward Class (OBC),44.7 acres,25.2 acres,30.7 acres,Yes,1,No,OK,,NSS-1,NSC-5,105934.18,SR-3,SR-5,516320.95,Single Member,Madhya Pradesh,DT-360,1379.103
RC-5,FSU-89479,Round 69,SCH-105,Sample 1,Rural,Gujarat,Ludhiana,Stratum-7,Sub-Stratum-3,N/A,Sub-Round 1,Sub-Sample 2,FOD-974,Block-2,Stage-2,HH-4,Level 1,N/A,3,Mining of coal,Agricultural Labourer,Self-employed in Non-Agriculture,Sikhism,General/Others,8.8 acres,45.2 acres,7.9 acres,Yes,1,Yes,OK,,NSS-5,NSC-3,494522.95,SR-2,SR-1,208329.62,Single Member,Gujarat,DT-626,593.993
RC-4,FSU-38510,Round 66,SCH-156,Sample 2,Urban,Maharashtra,Dehradun,Stratum-6,Sub-Stratum-3,N/A,Sub-Round 3,Sub-Sample 1,FOD-852,Block-5,Stage-1,HH-7,Level 3,N/A,12,Manufacture of textiles,Doctor,Regular Wage/Salary,Others,Other Backward Class (OBC),15.3 acres,49.7 acres,16.8 acres,No,4,Yes,OK,,NSS-19,NSC-19,257012.37,SR-4,SR-4,883080.71,Extended Family,Maharashtra,DT-535,169.2
RC-5,FSU-18840,Round 65,SCH-151,Sample 1,Urban,Tamil Nadu,Patna,Stratum-5,Sub-Stratum-4,N/A,Sub-Round 3,Sub-Sample 2,FOD-719,Block-1,Stage-3,HH-1,Level 2,N/A,5,Manufacture of food products,Engineer,Self-employed in Non-Agriculture,Hinduism,Scheduled Caste (SC),49.6 acres,35.7 acres,7.6 acres,No,5,No,Pending,,NSS-17,NSC-11,55889.97,SR-1,SR-5,393936.82,Nuclear Family,Tamil Nadu,DT-608,1532.119
RC-4,FSU-26977,Round 61,SCH-168,Sample 2,Urban,Andhra Pradesh,Dehradun,Stratum-6,Sub-Stratum-3,N/A,Sub-Round 2,Sub-Sample 2,FOD-459,Block-2,Stage-1,HH-5,Level 1,N/A,12,Financial services,Teacher,Self-employed in Agriculture,Islam,Other Backward Class (OBC),18.0 acres,14.8 acres,18.9 acres,Yes,4,No,Pending,,NSS-12,NSC-9,108033.11,SR-1,SR-5,559865.04,Nuclear Family,Andhra Pradesh,DT-595,908.993
RC-5,FSU-75973,Round 60,SCH-199,Sample 2,Rural,Kerala,Ranchi,Stratum-7,Sub-Stratum-1,N/A,Sub-Round 4,Sub-Sample 1,FOD-217,Block-2,Stage-2,HH-3,Level 3,N/A,7,Restaurant/Hotel,Blacksmith,Self-employed in Non-Agriculture,Islam,Other Backward Class (OBC),36.2 acres,33.7 acres,26.6 acres,No,1,Yes,Pending,,NSS-9,NSC-1,455947.07,SR-4,SR-4,435305.26,Joint Family,Kerala,DT-533,185.194
RC-1,FSU-32726,Round 61,SCH-168,Sample 2,Rural,Jharkhand,Chennai,Stratum-7,Sub-Stratum-3,N/A,Sub-Round 1,Sub-Sample 2,FOD-268,Block-2,Stage-3,HH-4,Level 3,N/A,12,Land transport,Manager,Other Labour,Hinduism,Scheduled Caste (SC),11.6 acres,42.6 acres,11.1 acres,No,2,No,OK,,NSS-5,NSC-10,111370.6,SR-1,SR-5,786959.21,Joint Family,Jharkhand,DT-563,1028.821
RC-4,FSU-22037,Round 72,SCH-171,Sample 2,Urban,Tamil Nadu,Guwahati,Stratum-7,Sub-Stratum-4,N/A,Sub-Round 1,Sub-Sample 1,FOD-782,Block-2,Stage-3,HH-3,Level 3,N/A,11,Mining of coal,Domestic Helper,Regular Wage/Salary,Islam,Other Backward Class (OBC),4.7 acres,44.9 acres,28.7 acres,No,4,No,Pending,,NSS-6,NSC-24,449577.29,SR-3,SR-5,187195.63,Joint Family,Tamil Nadu,DT-802,393.219
RC-3,FSU-67630,Round 70,SCH-135,Sample 2,Rural,Jharkhand,Patna,Stratum-8,Sub-Stratum-1,N/A,Sub-Round 1,Sub-Sample 1,FOD-172,Block-2,Stage-2,HH-8,Level 1,N/A,6,Restaurant/Hotel,Manager,Other Labour,Sikhism,General/Others,12.2 acres,42.5 acres,3.0 acres,Yes,1,Yes,OK,,NSS-10,NSC-16,182446.6,SR-3,SR-2,811983.9,Single Member,Jharkhand,DT-724,858.068
RC-3,FSU-79719,Round 63,SCH-120,Sample 2,Rural,Gujarat,Dehradun,Stratum-4,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 1,FOD-155,Block-2,Stage-3,HH-6,Level 3,N/A,6,Land transport,Carpenter,Agricultural Labour,Buddhism,Other Backward Class (OBC),25.3 acres,35.2 acres,7.8 acres,Yes,1,No,OK,,NSS-17,NSC-23,277164.67,SR-2,SR-2,677189.8,Extended Family,Gujarat,DT-664,1528.415
RC-4,FSU-69425,Round 75,SCH-158,Sample 1,Rural,Odisha,Bhopal,Stratum-4,Sub-Stratum-3,N/A,Sub-Round 2,Sub-Sample 2,FOD-191,Block-3,Stage-2,HH-4,Level 1,N/A,12,Hospital activities,Office Clerk,Agricultural Labour,Islam,Other Backward Class (OBC),41.3 acres,15.9 acres,22.4 acres,No,4,No,Pending,,NSS-16,NSC-28,166618.7,SR-1,SR-5,463282.65,Single Member,Odisha,DT-714,1941.013
RC-5,FSU-97095,Round 61,SCH-108,Sample 1,Rural,Punjab,Ranchi,Stratum-6,Sub-Stratum-5,N/A,Sub-Round 2,Sub-Sample 2,FOD-173,Block-2,Stage-1,HH-5,Level 3,N/A,4,Forestry and logging,Nurse,Self-employed in Non-Agriculture,Sikhism,General/Others,24.6 acres,47.1 acres,9.9 acres,No,1,No,OK,,NSS-1,NSC-12,187978.15,SR-5,SR-4,804950.34,Joint Family,Punjab,DT-924,387.684
RC-3,FSU-73364,Round 65,SCH-160,Sample 1,Rural,Himachal Pradesh,Dehradun,Stratum-8,Sub-Stratum-5,N/A,Sub-Round 2,Sub-Sample 2,FOD-589,Block-5,Stage-3,HH-7,Level 3,N/A,11,Construction of buildings,Farmer/Cultivator,Others,Christianity,Other Backward Class (OBC),12.0 acres,47.6 acres,10.5 acres,Yes,0,Yes,Pending,,NSS-13,NSC-1,389550.34,SR-4,SR-4,453738.91,Single Member,Himachal Pradesh,DT-203,304.649
RC-3,FSU-10379,Round 73,SCH-152,Sample 1,Rural,Karnataka,Dehradun,Stratum-9,Sub-Stratum-5,N/A,Sub-Round 2,Sub-Sample 1,FOD-674,Block-3,Stage-2,HH-6,Level 2,N/A,5,Crop and animal production,Farmer/Cultivator,Agricultural Labour,Others,General/Others,9.4 acres,3.6 acres,25.1 acres,Yes,5,No,OK,,NSS-14,NSC-12,312425.62,SR-3,SR-5,177566.44,Joint Family,Karnataka,DT-634,387.838
RC-5,FSU-65317,Round 68,SCH-131,Sample 1,Rural,Karnataka,Agra,Stratum-7,Sub-Stratum-5,N/A,Sub-Round 4,Sub-Sample 1,FOD-970,Block-1,Stage-2,HH-4,Level 1,N/A,9,Manufacture of food products,Office Clerk,Agricultural Labour,Sikhism,Other Backward Class (OBC),41.2 acres,41.0 acres,2.8 acres,Yes,1,Yes,OK,,NSS-7,NSC-11,191428.73,SR-1,SR-2,467364.99,Joint Family,Karnataka,DT-840,1025.697
RC-1,FSU-70957,Round 71,SCH-183,Sample 2,Rural,Telangana,Raipur,Stratum-5,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 1,FOD-240,Block-2,Stage-1,HH-1,Level 2,N/A,8,Software development,Engineer,Other Labour,Hinduism,General/Others,34.1 acres,44.2 acres,29.4 acres,Yes,3,Yes,OK,,NSS-1,NSC-28,475597.65,SR-5,SR-4,338161.41,Single Member,Telangana,DT-244,1517.247
RC-5,FSU-56635,Round 74,SCH-136,Sample 2,Urban,Jharkhand,Surat,Stratum-7,Sub-Stratum-3,N/A,Sub-Round 3,Sub-Sample 2,FOD-910,Block-3,Stage-1,HH-3,Level 1,N/A,1,Construction of buildings,Carpenter,Other Labour,Christianity,Scheduled Tribe (ST),49.0 acres,1.9 acres,12.2 acres,Yes,0,No,OK,,NSS-4,NSC-30,287600.42,SR-1,SR-3,599651.84,Joint Family,Jharkhand,DT-345,1499.239
RC-3,FSU-64281,Round 66,SCH-159,Sample 1,Rural,Karnataka,Kolkata,Stratum-5,Sub-Stratum-3,N/A,Sub-Round 2,Sub-Sample 1,FOD-172,Block-2,Stage-3,HH-6,Level 3,N/A,5,Software development,Weaver,Others,Others,Scheduled Tribe (ST),20.0 acres,31.4 acres,5.7 acres,No,2,Yes,OK,,NSS-15,NSC-29,124936.95,SR-3,SR-2,347808.23,Extended Family,Karnataka,DT-824,1397.358
RC-2,FSU-81202,Round 65,SCH-180,Sample 1,Rural,Rajasthan,Raipur,Stratum-5,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 2,FOD-845,Block-3,Stage-3,HH-2,Level 1,N/A,4,Retail trade,Shop Keeper,Other Labour,Christianity,Scheduled Caste (SC),10.0 acres,38.4 acres,1.2 acres,Yes,0,No,OK,,NSS-3,NSC-9,273470.67,SR-1,SR-1,312466.22,Extended Family,Rajasthan,DT-662,1793.353
RC-5,FSU-41563,Round 61,SCH-196,Sample 1,Urban,Telangana,Hyderabad,Stratum-4,Sub-Stratum-1,N/A,Sub-Round 4,Sub-Sample 1,FOD-590,Block-4,Stage-1,HH-7,Level 2,N/A,8,Hospital activities,Doctor,Self-employed in Non-Agriculture,Jainism,Other Backward Class (OBC),7.8 acres,33.6 acres,3.5 acres,Yes,3,Yes,OK,,NSS-12,NSC-27,386508.68,SR-1,SR-5,568555.33,Extended Family,Telangana,DT-934,638.128
RC-1,FSU-45179,Round 70,SCH-110,Sample 2,Rural,Kerala,Patna,Stratum-5,Sub-Stratum-1,N/A,Sub-Round 3,Sub-Sample 1,FOD-328,Block-2,Stage-2,HH-4,Level 1,N/A,9,Construction of buildings,Manager,Agricultural Labour,Hinduism,Scheduled Tribe (ST),2.4 acres,49.7 acres,4.4 acres,Yes,0,Yes,Pending,,NSS-5,NSC-9,52088.74,SR-4,SR-5,445196.54,Joint Family,Kerala,DT-137,1213.074
RC-4,FSU-39922,Round 70,SCH-122,Sample 1,Rural,Karnataka,Mysuru,Stratum-9,Sub-Stratum-5,N/A,Sub-Round 3,Sub-Sample 1,FOD-834,Block-4,Stage-2,HH-6,Level 1,N/A,3,Software development,Domestic Helper,Self-employed in Agriculture,Others,Other Backward Class (OBC),41.7 acres,41.6 acres,8.8 acres,Yes,0,No,Pending,,NSS-11,NSC-8,422435.81,SR-2,SR-4,291576.48,Single Member,Karnataka,DT-994,1481.633
RC-2,FSU-64936,Round 70,SCH-108,Sample 1,Rural,Telangana,Patna,Stratum-4,Sub-Stratum-3,N/A,Sub-Round 1,Sub-Sample 2,FOD-721,Block-2,Stage-2,HH-8,Level 2,N/A,4,Retail trade,Doctor,Others,Hinduism,General/Others,9.1 acres,5.4 acres,23.9 acres,No,5,Yes,Pending,,NSS-17,NSC-21,449786.06,SR-1,SR-3,673233.68,Single Member,Telangana,DT-730,1323.479
RC-5,FSU-99670,Round 75,SCH-137,Sample 2,Rural,Jharkhand,Ranchi,Stratum-6,Sub-Stratum-5,N/A,Sub-Round 4,Sub-Sample 2,FOD-876,Block-5,Stage-2,HH-3,Level 3,N/A,3,Software development,Domestic Helper,Agricultural Labour,Hinduism,Scheduled Tribe (ST),5.9 acres,0.7 acres,8.0 acres,Yes,4,No,OK,,NSS-15,NSC-5,218219.9,SR-4,SR-5,737137.38,Single Member,Jharkhand,DT-669,379.159
RC-3,FSU-58903,Round 73,SCH-123,Sample 1,Rural,Kerala,Bhopal,Stratum-1,Sub-Stratum-4,N/A,Sub-Round 3,Sub-Sample 2,FOD-507,Block-2,Stage-3,HH-6,Level 3,N/A,2,Land transport,Weaver,Other Labour,Others,Scheduled Tribe (ST),6.7 acres,38.4 acres,21.2 acres,No,5,No,Pending,,NSS-1,NSC-13,341584.96,SR-4,SR-3,436458.24,Single Member,Kerala,DT-709,439.846
RC-3,FSU-85926,Round 67,SCH-134,Sample 1,Rural,Rajasthan,Hyderabad,Stratum-3,Sub-Stratum-1,N/A,Sub-Round 4,Sub-Sample 1,FOD-469,Block-3,Stage-3,HH-2,Level 1,N/A,2,Mining of coal,Engineer,Regular Wage/Salary,Islam,Scheduled Caste (SC),13.1 acres,20.4 acres,29.6 acres,Yes,4,No,Pending,,NSS-1,NSC-17,180818.98,SR-3,SR-4,139998.43,Joint Family,Rajasthan,DT-808,734.397
RC-4,FSU-15201,Round 71,SCH-146,Sample 1,Urban,Uttarakhand,Agra,Stratum-4,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 1,FOD-822,Block-5,Stage-2,HH-6,Level 2,N/A,11,Retail trade,Teacher,Self-employed in Agriculture,Sikhism,Other Backward Class (OBC),27.1 acres,48.3 acres,28.0 acres,Yes,0,Yes,OK,,NSS-7,NSC-25,215525.42,SR-3,SR-3,266253.59,Joint Family,Uttarakhand,DT-207,1470.261
RC-4,FSU-63422,Round 66,SCH-141,Sample 1,Urban,Telangana,Ranchi,Stratum-3,Sub-Stratum-1,N/A,Sub-Round 1,Sub-Sample 1,FOD-472,Block-3,Stage-3,HH-8,Level 1,N/A,3,Retail trade,Mason/Construction Worker,Other Labour,Christianity,Other Backward Class (OBC),5.8 acres,37.1 acres,7.2 acres,No,4,No,Pending,,NSS-12,NSC-16,253604.07,SR-5,SR-3,371066.95,Single Member,Telangana,DT-178,670.631
